"","ID","Location"
"2","TheNYevening","New York, NY"
"4","IvorHarddon","...on the 9"
"6","JoeAllenNewman","Warner Robins, Georgia"
"7","jeffmyers01","Atlanta"
"8","jeffmyers01","Atlanta"
"9","jeffmyers01","Atlanta"
"10","jeffmyers01","Atlanta"
"13","LotusOak","NoVA, USA"
"15","JoeAllenNewman","Warner Robins, Georgia"
"16","WyattSeton","Voorhees, NJ"
"17","Toekomst4","Europa"
"18","Toekomst4","Europa"
"19","mlvanbrit","Michigan, USA"
"20","mlvanbrit","Michigan, USA"
"21","CF_Kracker","Central Florida"
"22","mickeytidewater","East Coast, USA"
"23","Angel__Mendo","Querétaro, Querétaro Arteaga"
"24","LotusOak","NoVA, USA"
"25","Its_A_Me_Tuigi","Danger Close"
"26","LotusOak","NoVA, USA"
"28","FREEDOMPARTY2","Calgary, Alberta"
"30","muncievoice","Middletown, USA"
"32","PortageCoHealth","Ravenna, Ohio"
"34","Nuevomedio","Earth"
"35","ElisAmerica1","California, USA"
"36","MarieA4USA","United States"
"37","DanaElizabeth69","Pleiades"
"38","LotusOak","NoVA, USA"
"39","mccraw_birkie5","Valley of the Sun"
"40","Mannarzm","Chicago, IL"
"41","Cahokia12","USA"
"42","MBHolistic","Monterey Bay, California"
"43","DHIN_HIE","Dover, DE"
"44","PT6Wireless","Lexington, KY"
"46","LotusOak","NoVA, USA"
"47","Melanieswombats","Maryland, USA"
"48","rebeckthewreckk","New Mexico, USA"
"49","Ahunmo","Washington, USA"
"50","mission2heal","US"
"51","DDeavera","Dade City, FL"
"52","mission2heal","US"
"53","SNCCLA","Los Angeles"
"54","therainbowheron","between the spaces"
"55","LotusOak","NoVA, USA"
"56","ForPolJournal","USA"
"57","PassportHealthT","4290 W. Linebaugh Ave TAMPA FL"
"59","WolfeGlenda","Louisiana"
"60","CDCtravel","Atlanta, GA"
"61","Anna_Bird15","United States"
"62","caroljmcdonald","Florida"
"63","lucediversa","Hull, Quebec"
"64","Kikiandami","Los Angeles, CA"
"65","AntWorksHealth","Lynchburg, VA"
"66","robertwallace77","BATON ROUGE,LA."
"67","chronicpain_rb","Missouri (USA)"
"69","NosCommunes","Ottawa, Canada"
"70","nhclv","Allentown, PA."
