"","ID","Location"
"1","TheNYevening","New York, NY"
"2","KISSMediaCo","Los Angeles, CA"
"3","martavision","Southern California"
"4","ColinBBaker","Los Angeles"
"5","DrJoeHaraszti","Pasadena, CA"
"6","rogerscott","Los Angeles"
"7","Its_A_Me_Tuigi","Danger Close"
"8","FREEDOMPARTY2","Calgary, Alberta"
"9","zachintosh419","Toledo, Oh"
"11","CaulfieldTim","Edmonton Canada"
"12","rogerscott","Los Angeles"
"13","KISSMediaCo","Los Angeles, CA"
"14","martavision","Southern California"
"15","DrJoeHaraszti","Pasadena, CA"
"16","ColinBBaker","Los Angeles"
"17","DianeShears","Toronto, Canada"
"18","ForPolJournal","USA"
"19","WolfeGlenda","Louisiana"
"20","robertwallace77","BATON ROUGE,LA."
"22","rogerscott","Los Angeles"
"23","KISSMediaCo","Los Angeles, CA"
"24","ColinBBaker","Los Angeles"
"25","DrJoeHaraszti","Pasadena, CA"
"26","martavision","Southern California"
"27","revdonna","Los Angeles, CA"
"29","Univera_WNY","Buffalo, NY"
"30","TXShades123","Texas, USA"
"31","SilentSpring05","California, USA"
"32","CanGal_39","Canada"
"34","NASciencesTeam","Scottsdale, AZ"
"36","Sambyhere","DFW"
"37","Rory_Moe","Annandale-on-Hudson"
"38","JackieMcReath1","earth"
"39","AngryVoter2016","Northwest Arkansas"
"40","KPsychonautics","Ohio, USA"
"41","Rickfh4760","Florida, USA"
"42","EngLifestyles","Ontario, Canada"
"43","ginosullivan","Beverly Hills"
"45","ShellyKennisto1","CA hell<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>"
"46","gelicmonkey","United States"
"47","AndrewsHarley","Midwest"
"48","dennistondc","Seattle, WA"
"49","AndieHello","Florida"
"50","AmandaHisko","Ottawa, Canada"
"51","DrJoeHaraszti","Pasadena, CA"
"52","rogerscott","Los Angeles"
"53","ColinBBaker","Los Angeles"
"54","KISSMediaCo","Los Angeles, CA"
"55","martavision","Southern California"
"56","joegooding","Bethlehem, Pennsylvania"
"57","IRBroadshow","NYC "
"58","KevinParnella","Greenville, SC "
"59","Blackburnjack","Blackburn, England"
"61","JimPolk","Rochester, NY, USA"
"62","rayann2320","Illinois, USA"
"63","hayhead47","Right of Center,Tx"
"64","TheNYevening","New York, NY"
"65","DrJoeHaraszti","Pasadena, CA"
"66","ColinBBaker","Los Angeles"
"67","martavision","Southern California"
"68","rogerscott","Los Angeles"
"69","KISSMediaCo","Los Angeles, CA"
"70","HeatherRenwick","Canada"
"71","MeiraGebel","New York, NY"
"72","Jas_Hans1","Vancouver, British Columbia"
"73","DrJoeHaraszti","Pasadena, CA"
