"","ID","Location"
"1","DBlumbergPedsID","Sacramento"
"2","TJCommission","Oakbrook Terrace, IL"
"3","yna_ayt","Concerts"
"4","CIDRAP","Minneapolis, MN"
"7","SGottliebFDA","White Oak, MD"
"8","BoomerBaby54","Walnut Creek, California"
"9","RAPSorg","Rockville, MD, USA"
"10","Anna_Bird15","United States"
"11","censia_salud","Ciudad de México"
"14","tisharowemd","Houston, TX"
"15","uvamanizales","CLINICA DE LA PRESENTACION "
"16","jstintero","Tlalnepantla de Baz, México"
"17","hsiegel","ÜT: 33.522984,-111.930881"
"18","DisasterTrain","Atlanta, Ga"
"19","ChrisDisaster","Tallahassee Florida"
"20","AHS_YEGZone","Alberta"
"21","EnMediosRP","Mexico"
"22","SeguirBEST","México-Monterrey-Guadalajara"
"23","greg_folkers","Washington, D.C., U.S.A."
"24","ShikhaJainMD","Chicago, IL"
"25","NFIDvaccines","Bethesda, MD"
"26","DiariodeGDL","Guadalajara, Jal. México"
"27","ENFOQUEAM","Constitución"
"28","KPWaResearch","Seattle, WA"
"29","NASciencesTeam","Scottsdale, AZ"
"30","DonnaYoungDC","Washington"
"31","DonnaYoungDC","Washington"
"32","DonnaYoungDC","Washington"
"33","DonnaYoungDC","Washington"
"34","DonnaYoungDC","Washington"
"35","CellCellPress","Cambridge, MA"
"36","RyersonResearch","Toronto"
"37","DonnaYoungDC","Washington"
"38","DonnaYoungDC","Washington"
"39","DonnaYoungDC","Washington"
"40","DonnaYoungDC","Washington"
"41","DonnaYoungDC","Washington"
"42","DonnaYoungDC","Washington"
"43","DonnaYoungDC","Washington"
"44","DonnaYoungDC","Washington"
"45","HemOncToday","Thorofare, NJ"
"46","DonnaYoungDC","Washington"
"47","DonnaYoungDC","Washington"
"48","DonnaYoungDC","Washington"
"49","DonnaYoungDC","Washington"
"50","DonnaYoungDC","Washington"
"51","DonnaYoungDC","Washington"
"52","DonnaYoungDC","Washington"
"53","DonnaYoungDC","Washington"
"54","DonnaYoungDC","Washington"
"55","LIUBrooklynSHP","Brooklyn, NY"
"56","AHS_CentralZone","Central Alberta"
"57","DonnaYoungDC","Washington"
"58","DonnaYoungDC","Washington"
"59","DonnaYoungDC","Washington"
"60","VesselMedical","Greenville, SC"
"61","DonnaYoungDC","Washington"
"62","DonnaYoungDC","Washington"
"63","DonnaYoungDC","Washington"
"64","ExpressMedical_","United States"
"65","DonnaYoungDC","Washington"
"66","DonnaYoungDC","Washington"
"67","DonnaYoungDC","Washington"
"68","DonnaYoungDC","Washington"
"69","doritmi","Bay Area, CA"
"70","jasonlschwartz","New Haven, CT"
"71","ASNRADIONETWORK","Orlando, FL"
"73","DonnaYoungDC","Washington"
"74","greg_folkers","Washington, D.C., U.S.A."
"75","ValueCareEMS","Zanesville, OH"
