"","ID","Location"
"2","dickblankesabel","Drachten"
"3","Genthoe5","Bendosari, Indonesia"
"4","FrisbeespiceR","California, USA"
"5","livewxradar","USA"
"6","constancegifts","Florida, USA"
"7","SheilaStinson6","Lebanon, TN"
"9","1206harumi","<U+65E5><U+672C> <U+5C71><U+5F62><U+770C><U+6771><U+7F6E><U+8CDC><U+90E1><U+5DDD><U+897F><U+753A>"
"10","tatitrento","V. María, Córdoba, Argentina."
"11","HealingHeatThpy","Colorado Springs, CO"
"13","SeattlesUGM","King County"
"14","826andCo","Kansas City, MO"
"15","HitArrowLegend","Boston, MA"
"16","TheIntellNews","Doylestown, Bucks County, PA"
"17","AaronComfortDog","Napa, CA"
"18","FeistyMama51","New Jersey."
"19","bradonlongwx","Harrisburg, PA"
"20","AJonesy19","Franklin, MA"
"21","PeterakaCoxx","Toronto"
"22","Statguardplus","Nashville, TN"
"23","BurlcoTimes","Burlington County, NJ"
"24","CentralARSurg","Little Rock, AR"
"25","HealthierInside","Little Rock, AR"
"26","referaiorm","Little Rock, AR"
"27","referaiorm","Little Rock, AR"
"28","MigguelAnggelo","Brooklyn, NY"
"29","malagaAjesus","New Jersey, USA"
"30","___dgh___","New York, USA"
"31","StayYoungMedia","Texas, USA"
"32","noydeen_medical","Conway, AR"
"33","anaheimguide","Anaheim CA"
"34","madsjchic","Charlotte, NC"
"35","JonMassonWSJ","Sun Prairie, WI"
"36","masolomonides","CT"
"37","jredent","Miami"
"38","sin1fury","columbia , sc"
"39","NaysBucketList","Florida"
"40","CearaComeau","New Hampshire, USA"
"41","WCYB_DaveDierks","Tri-Cities TN/VA"
"42","JenniferMillier","Mission, British Columbia"
"43","dltraxle","Atlanta"
"44","siggiboston","Boston, MA"
"46","nbc15_madison","Madison, WI"
"47","ajWxMan","Madison, WI"
"48","JustOneRhonda","Wichita KS"
"49","roguelumen","Chicago, IL"
"50","brentawilson","Cochrane, Alberta"
"51","eversopopular","Washington DC"
"52","jerilyn_ashmore","Tennessee, USA"
"53","EHFoundation237","Cameroon "
"54","EremosLife","Cochrane, AB, Canada"
"55","HybirdCoco","A twig in the Internet"
"56","SC20Pearls","Orlando, Florida"
"57","brendatomczak","Minnesota "
"58","AdamMGlass","Ingersoll, Ontario"
"59","HRApplianceman","Boston, MA"
"60","jimkosek","Atlanta, GA"
"62","Wicstunbully","York, England"
"63","StaciElizabeth","Oviedo, FL"
"64","franckyisabelle","Saint-Hyacinthe, Québec"
"65","donpaulwkbw","Buffalo, NY"
"66","donpaulwkbw","Buffalo, NY"
"67","mardays1","Philadelphia, PA"
"69","Weather_Track","Virginia Beach, USA"
"70","joesnellington","Windermere, Florida "
"71","pogohopensa","Aurora, IN"
"72","BrandNew_Media","New York, NY"
"73","DennisNapper","Cambridge, ON"
"74","Dr_Keister","AGW, Middletown, DE"
"75","SteelRiver7","Pittsburgh, PA"
"76","VonSade","Buffalo, NY"
"77","LauraAlmond5","Aberdeen, MD"
"79","RicAcevedo","Orlando, FL"
"80","AllisonBTimmins","Timmins, Ontario"
"81","CrackaLack","Lansing, MI"
"82","FPHOfficial","United States"
"85","QuantifiedDave","South Carolina, USA"
"86","thinbegin","slc, ut"
"88","MjDruchii","Washington"
"90","NMadonich","Ohio, USA"
"91","Buggs_Dad","Arizona"
"92","Rachybobbins","Yorkshire"
"93","iainG81","Alpha Centauri"
"95","MBatesGardenCtr","Brentwood, TN"
"96","LuckmanSimon","Great Yarmouth, England"
"97","tormentodehielo","Monterrey, Nuevo León"
"98","francismccloy","Ireland"
"100","DavidBagleyWX","Boston, MA"
"101","DavidBagleyWX","Boston, MA"
"103","kkconducts","Boston, MA"
"104","wpbf_mike","West Palm Beach, Florida"
"105","WPBF25News","West Palm Beach, FL"
"106","JMHS_Live","Siler City, NC"
"108","AeroGrrlWMU","Seattle, WA"
"109","yamkin1","UK"
"110","tarvISknox","Knoxville, Tennessee "
"111","DeadEye687","Chicago"
"113","TripleCreek_RC","Colerain, Ohio"
"114","CharlyLee_PSU72","Boalsburg, Pennsylvania, USA"
"115","indigoace40","Maryland"
"116","CoghlansGear","Winnipeg"
"117","Weather_Nathan","England, United Kingdom, South Yorkshire"
"118","CranberryHippo","South West, England"
"119","hvysnow","New Jersey, USA"
"120","StevenV82377558","North East, US"
"121","wdallian","North Vancouver"
"122","judah47","Boston"
"123","DjurdjaWatson","London"
"124","1SuperMomNoCape","London, Ontario"
"125","HealthyMePA","Pennsylvania, USA"
"126","C_Bjellekjaer","Denmark"
"127","homeopathy2010","USA"
"129","TNVolDrB","Knoxville, TN"
"130","Custom_Coach","Gorham, Maine"
"131","boutiqueofglam","Fortuna, CA"
"133","metalrulestv","Moorestown, New Jersey"
"134","BarryCassell","Boston, MA"
"135","ekuzevska","United States"
"136","star69bottom","Orlando,Fl."
"137","Roy_O_Rourke","Dublin, Ireland"
"139","PCAAppleton","Appleton, WI"
"140","bigkevcomedy","Brooklyn, NY"
"142","MartinEzelle","Dallas, TX"
"143","JiletOBoui","CT"
"144","AgentSharleenSy","Sacramento, CA"
"145","BoysToysUS","Miami, FL"
"146","MainStreetJeff","Jefferson, GA"
"147","heartrae4","Jersey"
"148","Team_Clickback","St. Catharines, Ontario"
"149","IrmaJeelof","Ameland, The Netherlands"
"150","Chris_Said_it","Tennessee"
"151","MetAlertIreland","Ireland"
"152","FortunatoEddie","Brooklyn, NY"
"153","LesliePrindle","South Carolina, USA"
"154","RomannOchoa","New Jersey, USA"
"155","jj_menna","Philadelphia, PA"
"156","Limo_Studio","Rancho Cucamonga, CA"
"157","lanikaibabe","near Philly heart in Hawaii"
"158","6abcadamjoseph","Philadelphia, PA"
"159","SencuraCare","Manassas, VA"
"160","01JudyMarshall","Dover Plains, NY"
"161","WSMVweather","WSMV-TV....Nashville, TN"
"162","WSMVLisaSpencer","Nashville"
"163","pharmanewsmx","MÉXICO"
"164","Bargnbling","Georgia, USA"
"165","Trooper527","United States"
"167","larssonzita","Stockholm"
"168","JacobyDave","West Lafayette, IN"
"169","STANDLYco","Boston, MA"
"170","cinnamonvogue","Las Vegas"
"171","RomannOchoa","New Jersey, USA"
"172","rejuvenatehome","Miramar, FL"
"173","Senfberg","Bad Homie"
"174","MyceliumG","Tampa, FL"
"175","Herbion_US","United States"
"176","sleazeyari","Atlanta"
"177","livewxradar","USA"
"178","msvaleriaisabel","Orlando, FL"
"179","HoneyDew_Donuts","Plainville, MA"
"180","loveGoldenHeart","<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>United States"
"181","petite_stephy","Québec, Canada"
"182","Sprite","Atlanta GA"
"183","Sprite","Atlanta GA"
"184","brmartinez","State of São Paulo"
"185","ShinySpartan92","Missouri, USA"
"186","LeConteMedCtr","Sevierville, TN"
"187","RvingVIP","Myrtle Beach"
"188","sandiegocracks","San Diego, CA"
"189","sjpdevine","London, England"
"190","mathieu_rigot","Montréal, Québec"
"191","anotherfnartist","Florida, USA"
