"","ID","Location"
"1","doritmi","Bay Area, CA"
"2","doritmi","Bay Area, CA"
"3","TIGGERR00","Wills Point, TX"
"4","lizditz","San Mateo County, California"
"5","doritmi","Bay Area, CA"
"6","ffxfirerescue","Fairfax County, Virginia"
"7","AHS_YEGZone","Alberta"
"8","LFCHD","Lexington, KY"
"9","NFIDvaccines","Bethesda, MD"
"10","TuSNHD","Las Vegas, Nevada"
"11","TuSNHD","Las Vegas, Nevada"
"12","SNHDflu","Las Vegas, Nevada"
"13","AHEC_WestMD","Cumberland, MD"
"14","TexasDSHS","Austin, TX"
"15","LFCHD","Lexington, KY"
"16","HamiltonCHN","Michigan, USA"
"17","NFIDvaccines","Bethesda, MD"
"18","GreeneCOHD","Xenia, OH"
"19","FortBendHealth","Fort Bend County, Texas"
"20","UMmedschool","Baltimore, MD"
"21","famfightflu","Arlington, VA"
"22","SDCountyHHSA","San Diego County"
"23","AHS_CentralZone","Central Alberta"
"24","claymohealth","Liberty, Missouri"
"25","doritmi","Bay Area, CA"
"26","JanssenGlobal","Raritan, New Jersey"
"27","NFIDvaccines","Bethesda, MD"
"28","NFIDvaccines","Bethesda, MD"
"29","doritmi","Bay Area, CA"
"30","CoMo_HealthDept","Columbia, Missouri"
"31","doritmi","Bay Area, CA"
"32","SDCountyHHSA","San Diego County"
"33","TuSNHD","Las Vegas, Nevada"
"34","doritmi","Bay Area, CA"
"35","SNHDflu","Las Vegas, Nevada"
"36","AHS_YEGZone","Alberta"
"37","sabinvaccine","Washington, DC"
"38","NashuaPHealth","Nashua, NH"
"39","NFIDvaccines","Bethesda, MD"
"40","doritmi","Bay Area, CA"
"41","NFIDvaccines","Bethesda, MD"
"42","scoggins_shalan","Little Rock, AR"
"43","SDCountyHHSA","San Diego County"
"44","famfightflu","Arlington, VA"
"45","ImmunizeCa","California"
"46","StartofCareHQ","Burbank, CA"
"47","PolkMechanical","Dallas, TX"
"48","ShotofPrev","United States"
"49","famfightflu","Arlington, VA"
"50","AHS_CentralZone","Central Alberta"
"51","SDCountyHHSA","San Diego County"
"52","famfightflu","Arlington, VA"
"54","SaludHEALTHinfo","SAN DIEGO"
"55","AAPInsurance","Chicago, IL"
"56","NFIDvaccines","Bethesda, MD"
"57","JanssenGlobal","Raritan, New Jersey"
"58","NFIDvaccines","Bethesda, MD"
"59","SaludHEALTHinfo","SAN DIEGO"
"60","GreeneCOHD","Xenia, OH"
"61","bebina2","San Diego, CA"
"62","NFIDvaccines","Bethesda, MD"
"63","SDCountyHHSA","San Diego County"
"64","SaludHEALTHinfo","SAN DIEGO"
"65","doritmi","Bay Area, CA"
"66","SDCountyHHSA","San Diego County"
"67","JeffcoPH","Golden, CO"
"68","SNHDinfo","Las Vegas, Nevada"
"69","NFIDvaccines","Bethesda, MD"
"70","ImmunizeCa","California"
"72","DrBKidsDoc","Chicago, IL"
"73","Peaceupatl","Atlanta, GA"
"74","pediatricskc","Overland Park, Kansas"
"75","doritmi","Bay Area, CA"
"76","SDCountyHHSA","San Diego County"
"77","doritmi","Bay Area, CA"
"78","NFIDvaccines","Bethesda, MD"
"79","NFIDvaccines","Bethesda, MD"
"80","SOFLHCTB","Tampa, FL"
"81","CharlyLee_PSU72","Boalsburg, Pennsylvania, USA"
"82","AHS_CentralZone","Central Alberta"
"83","PHLPublicHealth","Philadelphia, PA"
"84","UMCapital","Cheverly, Maryland"
"85","NFIDvaccines","Bethesda, MD"
"86","JeffcoPH","Golden, CO"
"87","NWR_Indiana","Indianapolis, IN"
"88","SNHDflu","Las Vegas, Nevada"
"89","CAPublicHealth","Sacramento, CA"
"90","scottbolick","San Francisco, CA"
"91","MontereyCoOES","Monterey County"
"92","OurUrgentCares","Missouri, USA"
"93","doritmi","Bay Area, CA"
"94","NashuaPHealth","Nashua, NH"
"95","ohinj","New Jersey"
"96","CDCgov","Atlanta, GA"
"97","MDLIVEInc","Sunrise, FL"
"98","JanssenGlobal","Raritan, New Jersey"
"99","schoolnurses","Silver Spring, Maryland, USA"
"100","NFIDvaccines","Bethesda, MD"
"101","donitta_palmier","Lantana, TX"
"104","InfectiousPS","Saint Paul, Minnesota"
"105","KateGillespie06","Greater Phila Area"
"106","kath2cats","San Francisco Bay Area"
"107","doritmi","Bay Area, CA"
"108","doritmi","Bay Area, CA"
"109","DrTanyaAltmann","Los Angeles"
"110","totyfroty255","Seoul, Republic of Korea"
"111","julibuhs","Indianapolis, Indiana "
"112","aahudson1","Virginia, USA"
"113","GreeneCOHD","Xenia, OH"
"114","NancyRJones4","California, USA"
"115","AHS_CentralZone","Central Alberta"
"116","SinaiBiostats","New York, NY"
"117","SNHDinfo","Las Vegas, Nevada"
"118","SNHDflu","Las Vegas, Nevada"
"119","UCSFChildrens","San Francisco"
"121","NFIDvaccines","Bethesda, MD"
"122","AHS_YEGZone","Alberta"
"124","hccfindiana","Corydon, IN"
"125","MyUnitedWay211","Fort Wayne, IN"
"126","OurUrgentCares","Missouri, USA"
"127","FWAllenCountyHD","Fort Wayne, IN"
"128","CoMo_HealthDept","Columbia, Missouri"
"129","NFIDvaccines","Bethesda, MD"
"130","SDCountyHHSA","San Diego County"
"132","LakeHealth","Lake County, Ohio"
"133","HaywoodRegional","Clyde, NC"
"134","GApedsMD2010","Columbus, GA"
"135","rosscohealth","Chillicothe, Ohio"
"137","DBMI_Pitt","Pittsburgh, PA"
"138","strategicpolicy","defence rt *US Gov.prevails(Committed)"
"140","GRFDAZ","Tucson, AZ"
"142","CDC_Cancer","Atlanta GA"
"143","IAmTheHerd","https://vimeo.com/64521691"
"144","GaryMane1","Universal "
"145","NFIDvaccines","Bethesda, MD"
"146","ciphi_national","Canada"
"147","CAHealthAllianc","Lansing, MI"
"148","acdcjoanie","Canada"
"149","Alicia_Soucy","Amsterdam, NY"
"150","jeffieruth","Franklin, TN"
"151","jalavila","Salamanca"
"152","SDCountyHHSA","San Diego County"
"153","LakeCoHealth","Lake County, Illinois"
"156","jhennick28","Bakersfield, California"
"157","beavswit","Missing NSB in Tallahassee "
"158","nivri2003","Florida, USA"
"159","HorryEMD","South Carolina, USA"
"160","ctgdentoncounty","Flower Mound, TX"
"161","CountyPubl","31 Woodlawn Avenue, Saratoga Springs, NY 12866"
"162","ParentConnectio","San Diego"
"164","famfightflu","Arlington, VA"
