"","STATENAME","Freq"
"1","alabama",7
"2","arizona",36
"3","arkansas",26
"4","california",301
"5","colorado",24
"6","connecticut",31
"7","delaware",8
"8","district of columbia",86
"9","florida",104
"10","georgia",56
"11","idaho",1
"12","illinois",82
"13","indiana",18
"14","iowa",7
"15","kansas",461
"16","kentucky",26
"17","louisiana",15
"18","maine",14
"19","maryland",63
"20","massachusetts",65
"21","michigan",27
"22","minnesota",35
"23","mississippi",5
"24","missouri",40
"25","montana",10
"26","nebraska",14
"27","nevada",35
"28","new hampshire",6
"29","new jersey",46
"30","new mexico",94
"31","new york",75
"32","north carolina",33
"33","north dakota",2
"34","ohio",154
"35","oklahoma",32
"36","oregon",18
"37","pennsylvania",71
"38","rhode island",5
"39","south carolina",16
"40","south dakota",1
"41","tennessee",17
"42","texas",157
"43","utah",7
"44","vermont",3
"45","virginia",42
"46","washington",127
"47","west virginia",7
"48","wisconsin",30
"49","wyoming",5
