"","ID","Location"
"1","DrJellyFinger35","Georgia"
"2","TheNYevening","New York, NY"
"3","K1er","Somewhere in eastern US"
"4","Streetsmart365","Austin, TX"
"5","Crowntiptoe","Texas, USA"
"7","overhead440","N Carolina"
"9","linda_troxell","USA"
"11","WeekFacts","Detroit, MI"
"12","JohnRomaniello4","U.S.A. U.S.A. U.S.A. U.S.A. !"
"15","TheNYevening","New York, NY"
"16","CustomerForYou","United States"
"18","QB_Bob","Huntsville, Alabama"
"19","WeekFacts","Detroit, MI"
"20","WeekFacts","Detroit, MI"
"21","5NEWSNielson","Fort Smith, AR"
"22","WeekFacts","Detroit, MI"
"23","DanversDoctors","Danvers, MA"
"24","WeekFacts","Detroit, MI"
"25","PediatricSafety","Decatur, GA"
