"","ID","Location"
"1","FlutiCareOTC","San Diego, CA"
"2","innovuspharma","San Diego, CA"
"3","innovuspharma","San Diego, CA"
"4","FlutiCareOTC","San Diego, CA"
"5","innovuspharma","San Diego, CA"
"6","FlutiCareOTC","San Diego, CA"
"7","innovuspharma","San Diego, CA"
"8","FlutiCareOTC","San Diego, CA"
"9","innovuspharma","San Diego, CA"
"10","FlutiCareOTC","San Diego, CA"
"11","BeatingWallSt","Ohio, USA"
"12","FlutiCareOTC","San Diego, CA"
"13","innovuspharma","San Diego, CA"
"14","socmrktng","Albuquerque, NM"
"15","ssn3media","Albuquerque, NM"
"16","ssn4marketing","United States"
"17","socialprnews","United States"
"18","prtweetsnow","United States"
"19","socialstocksnow","USA"
"20","ssn5marketing","United States"
"21","innovuspharma","San Diego, CA"
"22","FlutiCareOTC","San Diego, CA"
"23","FlutiCareOTC","San Diego, CA"
"24","innovuspharma","San Diego, CA"
"25","aleks1096","Earth"
"26","CaitlinJReeves","Athens, GA"
"27","marion_poff","Spokane, WA"
"28","ssn4marketing","United States"
"29","socialstocksnow","USA"
"30","ssn5marketing","United States"
"31","socialprnews","United States"
"32","prtweetsnow","United States"
"33","FlutiCareOTC","San Diego, CA"
"34","innovuspharma","San Diego, CA"
"35","socmrktng","Albuquerque, NM"
"36","ssn3media","Albuquerque, NM"
"37","prtweetsnow","United States"
"38","socialprnews","United States"
"39","socialstocksnow","USA"
"40","ssn4marketing","United States"
"41","ssn5marketing","United States"
"42","socmrktng","Albuquerque, NM"
"43","ssn3media","Albuquerque, NM"
"44","innovuspharma","San Diego, CA"
"45","FlutiCareOTC","San Diego, CA"
"46","socialprnews","United States"
"47","ssn4marketing","United States"
"48","ssn3media","Albuquerque, NM"
"49","ssn5marketing","United States"
"50","FlutiCareOTC","San Diego, CA"
"51","innovuspharma","San Diego, CA"
"52","Watkins_Clinic","Jacksonville, Fl"
"53","innovuspharma","San Diego, CA"
"54","FlutiCareOTC","San Diego, CA"
"55","deityheart","USA"
"56","prtweetsnow","United States"
"57","socmrktng","Albuquerque, NM"
"58","ssn5marketing","United States"
"59","ssn3media","Albuquerque, NM"
"60","ssn4marketing","United States"
"61","socialprnews","United States"
"62","FlutiCareOTC","San Diego, CA"
"63","innovuspharma","San Diego, CA"
"64","prtweetsnow","United States"
"65","socmrktng","Albuquerque, NM"
"66","ssn4marketing","United States"
