"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @JamieNWilkinson: Vaccination has protected us from #influenza for over 80 years. #EUVaccines
Sign our Manifesto to help protect generat…",FALSE,0,NA,2018-03-08 23:35:24,FALSE,NA,"971892169668734976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hilde_deneyer",2,TRUE,FALSE,NA,NA
"2","RT @RonanKelly13: USA: Newly reported #Influenza fatalities from (tot) Nevada (48), Oklahoma (228), Texas (221) and North Carolina (276). D…",FALSE,0,NA,2018-03-08 23:32:56,FALSE,NA,"971891549528190976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Crof",3,TRUE,FALSE,NA,NA
"3","RT @EU_Health: .@ECDC_Flu: How is the 2017-18 #FluSeason developing in #Europe? 

In week 8/2018, #influenza activity is widespread in most…",FALSE,0,NA,2018-03-08 23:30:17,FALSE,NA,"971890879119200257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VirionH",18,TRUE,FALSE,NA,NA
"4","RT @ECDC_Flu: #Influenza is increasing in eastern #Europe. Vaccination targeting the elderly, people with chronic diseases &amp; healthcare wor…",FALSE,0,NA,2018-03-08 23:30:09,FALSE,NA,"971890847229849606",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VirionH",34,TRUE,FALSE,NA,NA
"5","RT @Salud_CZ5: #Galápagos| Personal del Puesto de Salud Puerto Villamil realiza vacunación contra la #Influenza a adultos mayores en la Isl…",FALSE,0,NA,2018-03-08 23:11:11,FALSE,NA,"971886073650581506",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bryanarmijos4",67,TRUE,FALSE,NA,NA
"6","RT @Salud_CZ7: #Loja: En el barrio Lance de la parroquia Bellavista en Espíndola, realizamos campaña de vacunación contra la #Influenza, pr…",FALSE,0,NA,2018-03-08 23:07:21,FALSE,NA,"971885111229771776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jsantiagozumba",14,TRUE,FALSE,NA,NA
"7","RT @Salud_CZ7: #Chaguarpamba: Las condiciones del terreno no impiden que nuestro personal brinde los servicios de salud. Llegamos hasta  el…",FALSE,0,NA,2018-03-08 23:06:16,FALSE,NA,"971884835034877953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jsantiagozumba",18,TRUE,FALSE,NA,NA
"8","RT @Salud_CZ5: #Bolívar | #MédicoDelBarrio inmuniza contra la #Influenza a grupos vulnerables de la comunidad de Vinchoa en el cantón Guara…",FALSE,0,NA,2018-03-08 23:03:46,FALSE,NA,"971884209324412929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aldodago",61,TRUE,FALSE,NA,NA
"9","RT @real_tread: So many people are getting #sick around me. Co-workers drop like flies, but I stand strong.  I have an #Alpha immune system…",FALSE,0,NA,2018-03-08 23:03:22,FALSE,NA,"971884105284534273",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","TristanFishXXX",1,TRUE,FALSE,NA,NA
"10","#VaccinesWork vs #influenza https://t.co/x1TJwX1HDq",FALSE,0,NA,2018-03-08 23:00:27,FALSE,NA,"971883372766117888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DBlumbergPedsID",0,FALSE,FALSE,NA,NA
"11","Enfermos crónicos entre 6 y 64 años, portadores de alguna de estas condiciones de riesgo, DEBEN vacunarse contra la… https://t.co/a4mF4xa4OR",FALSE,0,NA,2018-03-08 23:00:26,TRUE,NA,"971883367548497921",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ispch",0,FALSE,FALSE,NA,NA
"12","#Flu seasons has peaked, per @CDCFlu. Not a moment too soon. Catch @FireceHealth roundup about #influenza and 2017… https://t.co/f21BBnlLG6",FALSE,1,NA,2018-03-08 22:56:00,TRUE,NA,"971882255101693953",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","TJCommission",0,FALSE,FALSE,NA,NA
"13","RT @philippejuvin: Épidémie de #grippe : elle n'est pas terminée. Les #urgences toujours très chargées. Depuis 2 mois en France, 150 000 pa…",FALSE,0,NA,2018-03-08 22:43:26,FALSE,NA,"971879089903677441",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SebGuerts",6,TRUE,FALSE,NA,NA
"14","RT @CIDRAP: #FLU SCAN: #Vaccine effect after repeat vaccines; 4-strain #fluvax in youngest kids; #H5N1 #avianflu in India https://t.co/NdGG…",FALSE,0,NA,2018-03-08 22:36:10,FALSE,NA,"971877261937790982",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yna_ayt",2,TRUE,FALSE,NA,NA
"15","#FLU SCAN: #Vaccine effect after repeat vaccines; 4-strain #fluvax in youngest kids; #H5N1 #avianflu in India… https://t.co/i8ot8Ji0Dc",FALSE,0,NA,2018-03-08 22:35:44,TRUE,NA,"971877154739847168",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CIDRAP",2,FALSE,FALSE,NA,NA
"16","RT @censia_salud: La #Influenza estacional no se cura con antibióticos. Vacúnate y evita el contagio. https://t.co/KuTecpccCl",FALSE,0,NA,2018-03-08 22:32:30,FALSE,NA,"971876340688478214",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alemala",2,TRUE,FALSE,NA,NA
"17","RT @censia_salud: La #Influenza estacional no se cura con antibióticos. Vacúnate y evita el contagio. https://t.co/KuTecpccCl",FALSE,0,NA,2018-03-08 22:30:08,FALSE,NA,"971875741511049217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anigroeg59",2,TRUE,FALSE,NA,NA
"18","RT @Salud_CZ8: #Distrito09D23 socializa campaña de vacunación contra la #Influenza #Vacúnate #EtapaInvernal. https://t.co/KiBUyjCej0",FALSE,0,NA,2018-03-08 22:28:24,FALSE,NA,"971875308180819970",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Margari97023407",8,TRUE,FALSE,NA,NA
"19","RT @RAPSorg: Review of This Year’s Severe Flu Season: @CDCgov, @US_FDA, @NIH and @BARDA Officials Discuss | #Regulatory Focus https://t.co/…",FALSE,0,NA,2018-03-08 22:25:09,FALSE,NA,"971874487481307137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SGottliebFDA",1,TRUE,FALSE,NA,NA
"20","RT @Salud_CZ2: #Napo #Orellana #PichinchaRural - Vacúnate contra la #Influenza, la vacuna es gratuita. #ProtégeteContraLaInfluenza https://…",FALSE,0,NA,2018-03-08 22:25:03,FALSE,NA,"971874463317970944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shesy1979",20,TRUE,FALSE,NA,NA
"21","Getting more sun could protect you from the flu... here's how... https://t.co/1hQJU3Gfgs #flu #Flu2018 #influenza… https://t.co/gi7Vi62kJD",FALSE,0,NA,2018-03-08 22:24:41,TRUE,NA,"971874373375152129",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoomerBaby54",0,FALSE,FALSE,NA,NA
"22","@BBCNews please note other countries also have health service problems atm. A friend in Dortmund  is waiting for ca… https://t.co/S5Uhge9uZx",FALSE,1,"BBCNews",2018-03-08 22:20:12,TRUE,NA,"971873244960690176","612473","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maltravers2011",0,FALSE,FALSE,NA,NA
"23","@TheObGProject @CDCFlu Majority of people who come down with #flu-like symptoms are not infected with #Influenza… https://t.co/3fyU1hpkLI",FALSE,0,"TheObGProject",2018-03-08 22:19:35,TRUE,"971824154809917440","971873088399990786","4920860637","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mabelyang",0,FALSE,FALSE,NA,NA
"24","Review of This Year’s Severe Flu Season: @CDCgov, @US_FDA, @NIH and @BARDA Officials Discuss | #Regulatory Focus… https://t.co/juAVTJqoHs",FALSE,2,NA,2018-03-08 22:17:54,TRUE,NA,"971872664804569088",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","RAPSorg",1,FALSE,FALSE,NA,NA
"25","RT @RonanKelly13: USA: Newly reported #Influenza fatalities from (tot) Nevada (48), Oklahoma (228), Texas (221) and North Carolina (276). D…",FALSE,0,NA,2018-03-08 22:15:12,FALSE,NA,"971871986220716032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lluis1966",3,TRUE,FALSE,NA,NA
"26","RT @ministeriosalud: Desde el 14 de marzo deben vacunarse contra la influenza los niños y niñas entre los 6 meses y 5 años 11 meses y 29 dí…",FALSE,0,NA,2018-03-08 22:10:35,FALSE,NA,"971870825497399296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IndieDanielle",23,TRUE,FALSE,NA,NA
"27","RT @pti_nps: #CDC’s Advisory Committee on Immunization Practices (#ACIP) voted in support of the intranasal #flu #vaccine, #FluMist Quadriv…",FALSE,0,NA,2018-03-08 22:06:06,FALSE,NA,"971869695073771521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Anna_Bird15",2,TRUE,FALSE,NA,NA
"28","La #Influenza estacional no se cura con antibióticos. Vacúnate y evita el contagio. https://t.co/KuTecpccCl",FALSE,1,NA,2018-03-08 22:06:00,FALSE,NA,"971869669891047425",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","censia_salud",2,FALSE,FALSE,NA,NA
"29","RT @ispch: Recuerda que la vacuna contra la #influenza es GRATUITA para:
<ed><U+00A0><U+00BE><ed><U+00B4><U+00B0>Embarazadas a partir de las 13 semanas de gestación
<ed><U+00A0><U+00BD><ed><U+00B1><U+00B6>Niños(as) en…",FALSE,0,NA,2018-03-08 21:57:26,FALSE,NA,"971867516174815233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OsOrio_PoOwA",5,TRUE,FALSE,NA,NA
"30","RT @Salud_CZ8: #Distrito09D23 en reunión con coordinadores del MIES socializando campaña de #Influenza #Vacúnate #EtapaInvernal. https://t.…",FALSE,0,NA,2018-03-08 21:56:14,FALSE,NA,"971867211173330944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RoxanaM74284010",19,TRUE,FALSE,NA,NA
"31","RT @Salud_CZ8: #Distrito09D23 socializa campaña de vacunación contra la #Influenza #Vacúnate #EtapaInvernal. https://t.co/KiBUyjCej0",FALSE,0,NA,2018-03-08 21:54:04,FALSE,NA,"971866665934905344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RoxanaM74284010",8,TRUE,FALSE,NA,NA
"32","RT @censia_salud: Aún es momento para vacunarse, así tu organismo podrá desarrollar la protección contra #influenza, ¡evita enfermarte! htt…",FALSE,0,NA,2018-03-08 21:53:53,FALSE,NA,"971866622502748160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anigroeg59",2,TRUE,FALSE,NA,NA
"33","RT @Salud_CZ8: #Distrito09D23 #Samborondón en campaña contra la #Influenza estacional dirigido a niños entre 6 y 59 meses en el recinto Zap…",FALSE,0,NA,2018-03-08 21:53:14,FALSE,NA,"971866458337828864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RoxanaM74284010",20,TRUE,FALSE,NA,NA
"34","RT @Atemwegsliga: Gründliches, 20 bis 30 Sekunden dauerndes #Händewaschen mit ausreichend Seife kann #Erkältungen, #Grippe und #Brechdurchf…",FALSE,0,NA,2018-03-08 21:52:02,FALSE,NA,"971866157316825096",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Dr_Hoenscheid",5,TRUE,FALSE,NA,NA
"35","RT @SSI_dk: INFLUENZA-AKTIVITETEN faldt i uge 9 fra et højt til et middel niveau, så vi har set toppen af denne sæsons influenzaepidemi htt…",FALSE,0,NA,2018-03-08 21:50:18,FALSE,NA,"971865717225283585",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Zwk0410",6,TRUE,FALSE,NA,NA
"36","RT @RonanKelly13: USA: Newly reported #Influenza fatalities from (tot) Nevada (48), Oklahoma (228), Texas (221) and North Carolina (276). D…",FALSE,0,NA,2018-03-08 21:49:11,FALSE,NA,"971865438597632002",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FluTrackers",3,TRUE,FALSE,NA,NA
"37","RT @Salud_CZ7: #Loja: En el barrio Lance de la parroquia Bellavista en Espíndola, realizamos campaña de vacunación contra la #Influenza, pr…",FALSE,0,NA,2018-03-08 21:48:23,FALSE,NA,"971865237476532224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CesibelValle",14,TRUE,FALSE,NA,NA
